"YEAR","MONTH","DAY","STID","RAIN"
2019,1,1,OKCE,0.00
2019,1,2,OKCE,0.00
2019,1,3,OKCE,0.51
2019,1,4,OKCE,0.51
2019,1,5,OKCE,0.37
2019,1,6,OKCE,0.00
2019,1,7,OKCE,0.00
2019,1,8,OKCE,0.00
2019,1,9,OKCE,0.00
2019,1,10,OKCE,0.00
2019,1,11,OKCE,0.53
2019,1,12,OKCE,0.04
2019,1,13,OKCE,0.00
2019,1,14,OKCE,0.00
2019,1,15,OKCE,0.01
2019,1,16,OKCE,0.00
2019,1,17,OKCE,0.00
2019,1,18,OKCE,0.02
2019,1,19,OKCE,0.00
2019,1,20,OKCE,0.00
2019,1,21,OKCE,0.00
2019,1,22,OKCE,0.01
2019,1,23,OKCE,0.00
2019,1,24,OKCE,0.00
2019,1,25,OKCE,0.00
2019,1,26,OKCE,0.00
2019,1,27,OKCE,0.00
2019,1,28,OKCE,0.00
2019,1,29,OKCE,0.00
2019,1,30,OKCE,0.00
2019,1,31,OKCE,0.00
2019,2,1,OKCE,0.00
2019,2,2,OKCE,0.00
2019,2,3,OKCE,0.00
2019,2,4,OKCE,0.00
2019,2,5,OKCE,0.01
2019,2,6,OKCE,0.10
2019,2,7,OKCE,0.01
2019,2,8,OKCE,0.02
2019,2,9,OKCE,0.00
2019,2,10,OKCE,0.00
2019,2,11,OKCE,0.08
2019,2,12,OKCE,0.00
2019,2,13,OKCE,0.00
2019,2,14,OKCE,0.00
2019,2,15,OKCE,0.00
2019,2,16,OKCE,0.00
2019,2,17,OKCE,0.00
2019,2,18,OKCE,0.00
2019,2,19,OKCE,0.08
2019,2,20,OKCE,0.12
2019,2,21,OKCE,0.00
2019,2,22,OKCE,0.06
2019,2,23,OKCE,0.02
2019,2,24,OKCE,0.00
2019,2,25,OKCE,0.00
2019,2,26,OKCE,0.00
2019,2,27,OKCE,0.00
2019,2,28,OKCE,0.00
2019,3,1,OKCE,0.01
2019,3,2,OKCE,0.00
2019,3,3,OKCE,0.00
2019,3,4,OKCE,0.00
2019,3,5,OKCE,0.02
2019,3,6,OKCE,0.00
2019,3,7,OKCE,0.00
2019,3,8,OKCE,0.00
2019,3,9,OKCE,0.21
2019,3,10,OKCE,0.35
2019,3,11,OKCE,0.05
2019,3,12,OKCE,0.03
2019,3,13,OKCE,1.10
2019,3,14,OKCE,0.00
2019,3,15,OKCE,0.00
2019,3,16,OKCE,0.00
2019,3,17,OKCE,0.00
2019,3,18,OKCE,0.00
2019,3,19,OKCE,0.00
2019,3,20,OKCE,0.03
2019,3,21,OKCE,0.00
2019,3,22,OKCE,0.00
2019,3,23,OKCE,0.29
2019,3,24,OKCE,0.00
2019,3,25,OKCE,0.00
2019,3,26,OKCE,0.00
2019,3,27,OKCE,0.00
2019,3,28,OKCE,0.00
2019,3,29,OKCE,0.00
2019,3,30,OKCE,0.41
2019,3,31,OKCE,0.00
2019,4,1,OKCE,0.00
2019,4,2,OKCE,0.00
2019,4,3,OKCE,0.23
2019,4,4,OKCE,0.51
2019,4,5,OKCE,0.00
2019,4,6,OKCE,0.20
2019,4,7,OKCE,0.00
2019,4,8,OKCE,0.00
2019,4,9,OKCE,0.00
2019,4,10,OKCE,0.00
2019,4,11,OKCE,0.00
2019,4,12,OKCE,0.00
2019,4,13,OKCE,1.82
2019,4,14,OKCE,0.01
2019,4,15,OKCE,0.00
2019,4,16,OKCE,0.00
2019,4,17,OKCE,0.91
2019,4,18,OKCE,0.00
2019,4,19,OKCE,0.00
2019,4,20,OKCE,0.00
2019,4,21,OKCE,0.00
2019,4,22,OKCE,0.00
2019,4,23,OKCE,1.18
2019,4,24,OKCE,0.00
2019,4,25,OKCE,0.00
2019,4,26,OKCE,0.00
2019,4,27,OKCE,0.00
2019,4,28,OKCE,0.00
2019,4,29,OKCE,0.03
2019,4,30,OKCE,2.14
2019,5,1,OKCE,0.03
2019,5,2,OKCE,0.00
2019,5,3,OKCE,1.22
2019,5,4,OKCE,0.00
2019,5,5,OKCE,0.31
2019,5,6,OKCE,0.00
2019,5,7,OKCE,0.29
2019,5,8,OKCE,2.10
2019,5,9,OKCE,0.02
2019,5,10,OKCE,0.35
2019,5,11,OKCE,0.20
2019,5,12,OKCE,0.00
2019,5,13,OKCE,0.00
2019,5,14,OKCE,0.00
2019,5,15,OKCE,0.00
2019,5,16,OKCE,0.00
2019,5,17,OKCE,0.00
2019,5,18,OKCE,1.69
2019,5,19,OKCE,0.00
2019,5,20,OKCE,1.51
2019,5,21,OKCE,1.55
2019,5,22,OKCE,0.00
2019,5,23,OKCE,0.00
2019,5,24,OKCE,0.45
2019,5,25,OKCE,1.11
2019,5,26,OKCE,0.03
2019,5,27,OKCE,0.00
2019,5,28,OKCE,0.00
2019,5,29,OKCE,0.27
2019,5,30,OKCE,0.00
2019,5,31,OKCE,0.00
2019,6,1,OKCE,0.16
2019,6,2,OKCE,0.00
2019,6,3,OKCE,0.00
2019,6,4,OKCE,0.27
2019,6,5,OKCE,0.04
2019,6,6,OKCE,1.89
2019,6,7,OKCE,0.00
2019,6,8,OKCE,0.00
2019,6,9,OKCE,1.61
2019,6,10,OKCE,0.00
2019,6,11,OKCE,0.00
2019,6,12,OKCE,0.36
2019,6,13,OKCE,0.00
2019,6,14,OKCE,0.52
2019,6,15,OKCE,0.57
2019,6,16,OKCE,0.38
2019,6,17,OKCE,0.00
2019,6,18,OKCE,0.00
2019,6,19,OKCE,1.06
2019,6,20,OKCE,0.00
2019,6,21,OKCE,0.00
2019,6,22,OKCE,0.00
2019,6,23,OKCE,1.08
2019,6,24,OKCE,0.00
2019,6,25,OKCE,0.00
2019,6,26,OKCE,0.00
2019,6,27,OKCE,0.00
2019,6,28,OKCE,0.00
2019,6,29,OKCE,0.00
2019,6,30,OKCE,0.00
2019,7,1,OKCE,0.00
2019,7,2,OKCE,0.00
2019,7,3,OKCE,0.08
2019,7,4,OKCE,0.00
2019,7,5,OKCE,0.00
2019,7,6,OKCE,0.00
2019,7,7,OKCE,0.01
2019,7,8,OKCE,1.18
2019,7,9,OKCE,0.00
2019,7,10,OKCE,0.00
2019,7,11,OKCE,0.00
2019,7,12,OKCE,0.00
2019,7,13,OKCE,0.00
2019,7,14,OKCE,0.00
2019,7,15,OKCE,0.00
2019,7,16,OKCE,0.00
2019,7,17,OKCE,0.00
2019,7,18,OKCE,0.00
2019,7,19,OKCE,0.00
2019,7,20,OKCE,0.00
2019,7,21,OKCE,0.00
2019,7,22,OKCE,0.00
2019,7,23,OKCE,0.00
2019,7,24,OKCE,0.00
2019,7,25,OKCE,0.00
2019,7,26,OKCE,0.00
2019,7,27,OKCE,0.00
2019,7,28,OKCE,0.00
2019,7,29,OKCE,0.00
2019,7,30,OKCE,0.00
2019,7,31,OKCE,0.00
2019,8,1,OKCE,0.00
2019,8,2,OKCE,0.31
2019,8,3,OKCE,0.00
2019,8,4,OKCE,0.00
2019,8,5,OKCE,0.00
2019,8,6,OKCE,0.00
2019,8,7,OKCE,0.00
2019,8,8,OKCE,0.12
2019,8,9,OKCE,1.08
2019,8,10,OKCE,0.00
2019,8,11,OKCE,0.00
2019,8,12,OKCE,0.00
2019,8,13,OKCE,0.32
2019,8,14,OKCE,0.00
2019,8,15,OKCE,0.00
2019,8,16,OKCE,0.00
2019,8,17,OKCE,0.00
2019,8,18,OKCE,0.12
2019,8,19,OKCE,0.00
2019,8,20,OKCE,0.00
2019,8,21,OKCE,0.00
2019,8,22,OKCE,0.72
2019,8,23,OKCE,0.22
2019,8,24,OKCE,0.00
2019,8,25,OKCE,0.15
2019,8,26,OKCE,1.96
2019,8,27,OKCE,0.03
2019,8,28,OKCE,0.00
2019,8,29,OKCE,0.00
2019,8,30,OKCE,1.68
2019,8,31,OKCE,0.00
2019,9,1,OKCE,0.00
2019,9,2,OKCE,0.00
2019,9,3,OKCE,0.00
2019,9,4,OKCE,0.00
2019,9,5,OKCE,0.00
2019,9,6,OKCE,0.00
2019,9,7,OKCE,0.00
2019,9,8,OKCE,0.00
2019,9,9,OKCE,0.00
2019,9,10,OKCE,0.00
2019,9,11,OKCE,0.00
2019,9,12,OKCE,0.08
2019,9,13,OKCE,0.33
2019,9,14,OKCE,0.00
2019,9,15,OKCE,0.00
2019,9,16,OKCE,0.00
2019,9,17,OKCE,0.00
2019,9,18,OKCE,0.00
2019,9,19,OKCE,0.00
2019,9,20,OKCE,0.28
2019,9,21,OKCE,0.47
2019,9,22,OKCE,0.17
2019,9,23,OKCE,0.01
2019,9,24,OKCE,0.76
2019,9,25,OKCE,0.00
2019,9,26,OKCE,0.05
2019,9,27,OKCE,0.00
2019,9,28,OKCE,0.00
2019,9,29,OKCE,0.00
2019,9,30,OKCE,0.00
2019,10,1,OKCE,0.00
2019,10,2,OKCE,0.00
2019,10,3,OKCE,0.00
2019,10,4,OKCE,0.00
2019,10,5,OKCE,0.00
2019,10,6,OKCE,0.00
2019,10,7,OKCE,0.00
2019,10,8,OKCE,0.00
2019,10,9,OKCE,0.00
2019,10,10,OKCE,0.00
2019,10,11,OKCE,0.00
2019,10,12,OKCE,0.00
2019,10,13,OKCE,0.00
2019,10,14,OKCE,0.00
2019,10,15,OKCE,0.00
2019,10,16,OKCE,0.00
2019,10,17,OKCE,0.00
2019,10,18,OKCE,0.00
2019,10,19,OKCE,0.01
2019,10,20,OKCE,0.03
2019,10,21,OKCE,0.00
2019,10,22,OKCE,0.00
2019,10,23,OKCE,0.06
2019,10,24,OKCE,1.27
2019,10,25,OKCE,1.44
2019,10,26,OKCE,0.00
2019,10,27,OKCE,0.00
2019,10,28,OKCE,0.00
2019,10,29,OKCE,0.54
2019,10,30,OKCE,0.07
2019,10,31,OKCE,0.00
2019,11,1,OKCE,0.00
2019,11,2,OKCE,0.00
2019,11,3,OKCE,0.00
2019,11,4,OKCE,0.00
2019,11,5,OKCE,0.00
2019,11,6,OKCE,0.18
2019,11,7,OKCE,0.22
2019,11,8,OKCE,0.00
2019,11,9,OKCE,0.00
2019,11,10,OKCE,0.00
2019,11,11,OKCE,0.01
2019,11,12,OKCE,0.00
2019,11,13,OKCE,0.00
2019,11,14,OKCE,0.00
2019,11,15,OKCE,0.00
2019,11,16,OKCE,0.00
2019,11,17,OKCE,0.00
2019,11,18,OKCE,0.00
2019,11,19,OKCE,0.00
2019,11,20,OKCE,0.02
2019,11,21,OKCE,0.01
2019,11,22,OKCE,0.32
2019,11,23,OKCE,0.00
2019,11,24,OKCE,0.00
2019,11,25,OKCE,0.00
2019,11,26,OKCE,0.00
2019,11,27,OKCE,0.00
2019,11,28,OKCE,0.17
2019,11,29,OKCE,0.10
2019,11,30,OKCE,0.03
2019,12,1,OKCE,0.00
2019,12,2,OKCE,0.00
2019,12,3,OKCE,0.00
2019,12,4,OKCE,0.00
2019,12,5,OKCE,0.00
2019,12,6,OKCE,0.00
2019,12,7,OKCE,0.00
2019,12,8,OKCE,0.00
2019,12,9,OKCE,0.00
2019,12,10,OKCE,0.00
2019,12,11,OKCE,0.00
2019,12,12,OKCE,0.00
2019,12,13,OKCE,0.00
2019,12,14,OKCE,0.00
2019,12,15,OKCE,0.01
2019,12,16,OKCE,0.00
2019,12,17,OKCE,0.00
2019,12,18,OKCE,0.00
2019,12,19,OKCE,0.00
2019,12,20,OKCE,0.00
2019,12,21,OKCE,0.00
2019,12,22,OKCE,0.00
2019,12,23,OKCE,0.00
2019,12,24,OKCE,0.00
2019,12,25,OKCE,0.00
2019,12,26,OKCE,0.00
2019,12,27,OKCE,0.00
2019,12,28,OKCE,0.53
2019,12,29,OKCE,0.00
2019,12,30,OKCE,0.00
2019,12,31,OKCE,0.00
2020,1,1,OKCE,0.00
